Float pumping speeds by length of pipe between two pumps:
length: 349 measured in pump: 618.55584716797 measured out pump: 618.55584716797
length: 350 measured in pump: 616.96545410156 measured out pump: 616.96545410156
length: 351 measured in pump: 615.38330078125 measured out pump: 615.38330078125
length: 352 measured in pump: 613.80975341797 measured out pump: 613.80975341797
length: 353 measured in pump: 612.24377441406 measured out pump: 612.24377441406
length: 354 measured in pump: 610.68585205078 measured out pump: 610.68585205078
length: 355 measured in pump: 609.13580322266 measured out pump: 609.13580322266
length: 356 measured in pump: 607.59375 measured out pump: 607.59375
length: 357 measured in pump: 606.0595703125 measured out pump: 606.0595703125
length: 358 measured in pump: 604.53308105469 measured out pump: 604.53308105469
length: 359 measured in pump: 603.01385498047 measured out pump: 603.01385498047
length: 360 measured in pump: 601.50262451172 measured out pump: 601.50262451172
length: 361 measured in pump: 599.99865722656 measured out pump: 599.99865722656
length: 362 measured in pump: 598.50268554688 measured out pump: 598.50268554688
length: 363 measured in pump: 597.013671875 measured out pump: 597.013671875
length: 364 measured in pump: 595.53259277344 measured out pump: 595.53259277344
length: 365 measured in pump: 594.05822753906 measured out pump: 594.05822753906
length: 366 measured in pump: 592.59143066406 measured out pump: 592.59143066406
length: 367 measured in pump: 591.13201904297 measured out pump: 591.13201904297
length: 368 measured in pump: 589.67956542969 measured out pump: 589.67956542969
length: 369 measured in pump: 588.23413085938 measured out pump: 588.23413085938
length: 370 measured in pump: 586.79595947266 measured out pump: 586.79595947266
length: 371 measured in pump: 585.36456298828 measured out pump: 585.36456298828
length: 372 measured in pump: 583.94036865234 measured out pump: 583.94036865234
length: 373 measured in pump: 582.52319335938 measured out pump: 582.52319335938
length: 374 measured in pump: 581.11273193359 measured out pump: 581.11273193359
length: 375 measured in pump: 579.70892333984 measured out pump: 579.70892333984
length: 376 measured in pump: 578.31207275391 measured out pump: 578.31207275391
length: 377 measured in pump: 576.92193603516 measured out pump: 576.92193603516
length: 378 measured in pump: 575.53845214844 measured out pump: 575.53845214844
length: 379 measured in pump: 574.16143798828 measured out pump: 574.16143798828
length: 380 measured in pump: 572.791015625 measured out pump: 572.791015625
length: 381 measured in pump: 571.42755126953 measured out pump: 571.42755126953
length: 382 measured in pump: 570.07012939453 measured out pump: 570.07012939453
length: 383 measured in pump: 568.71911621094 measured out pump: 568.71911621094
length: 384 measured in pump: 567.37445068359 measured out pump: 567.37445068359
length: 385 measured in pump: 566.03668212891 measured out pump: 566.03668212891
length: 386 measured in pump: 564.70532226563 measured out pump: 564.70532226563
length: 387 measured in pump: 563.37915039063 measured out pump: 563.37915039063
length: 388 measured in pump: 562.05987548828 measured out pump: 562.05987548828
length: 389 measured in pump: 560.74664306641 measured out pump: 560.74664306641
length: 390 measured in pump: 559.43981933594 measured out pump: 559.43981933594
length: 391 measured in pump: 558.13836669922 measured out pump: 558.13836669922
length: 392 measured in pump: 556.84356689453 measured out pump: 556.84356689453
length: 393 measured in pump: 555.55450439453 measured out pump: 555.55450439453
length: 394 measured in pump: 554.27154541016 measured out pump: 554.27154541016
length: 395 measured in pump: 552.99426269531 measured out pump: 552.99426269531
length: 396 measured in pump: 551.72302246094 measured out pump: 551.72302246094
length: 397 measured in pump: 550.45776367188 measured out pump: 550.45776367188
length: 398 measured in pump: 549.19830322266 measured out pump: 549.19830322266
length: 399 measured in pump: 547.94421386719 measured out pump: 547.94421386719
length: 400 measured in pump: 546.69586181641 measured out pump: 546.69586181641
length: 401 measured in pump: 545.45330810547 measured out pump: 545.45330810547
length: 402 measured in pump: 544.21661376953 measured out pump: 544.21661376953
length: 403 measured in pump: 542.98541259766 measured out pump: 542.98541259766
length: 404 measured in pump: 541.75964355469 measured out pump: 541.75964355469
length: 405 measured in pump: 540.53961181641 measured out pump: 540.53961181641
length: 406 measured in pump: 539.32489013672 measured out pump: 539.32489013672
length: 407 measured in pump: 538.11566162109 measured out pump: 538.11566162109
length: 408 measured in pump: 536.91149902344 measured out pump: 536.91149902344
length: 409 measured in pump: 535.71331787109 measured out pump: 535.71331787109
length: 410 measured in pump: 534.52026367188 measured out pump: 534.52026367188
length: 411 measured in pump: 533.33233642578 measured out pump: 533.33233642578
length: 412 measured in pump: 532.14978027344 measured out pump: 532.14978027344
